delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.4,,,,,,exp,,,,,0.9204202,,,,,,,,
0.7,,,,,,exp,,,,,1.2045912,,,,,,,,
0.7,,,,,,exp,,,,,0.3805705,,,,,,,,
0.7,,,,,,exp,,,,,2.725073,,,,,,,,
0.7,,,,,,exp,,,,,1.1071422,,,,,,,,
0.7,,,,,,exp,,,,,0.5390989,,,,,,,,
0.7,,,,,,exp,,,,,1.0206054,,,,,,,,
0.7,,,,,,exp,,,,,1.4719904,,,,,,,,
0.7,,,,,,exp,,,,,0.7185199,,,,,,,,
0.7,,,,,,exp,,,,,0.6882657,,,,,,,,
0.7,,,,,,exp,,,,,0.6646687,,,,,,,,
0.7,,,,,,exp,,,,,0.5079162,,,,,,,,
0.7,,,,,,exp,,,,,0.4987008,,,,,,,,
0.7,,,,,,exp,,,,,0.9939988,,,,,,,,
0.7,,,,,,exp,,,,,0.8976059,,,,,,,,
0.7,,,,,,exp,,,,,0.1767804,,,,,,,,
0.7,,,,,,exp,,,,,1.4275421,,,,,,,,
0.7,,,,,,exp,,,,,0.5261085,,,,,,,,
0.7,,,,,,exp,,,,,3.2234341,,,,,,,,
0.7,,,,,,exp,,,,,0.4193499,,,,,,,,
0.7,,,,,,exp,,,,,0.4142773,,,,,,,,
0.7,,,,,,exp,,,,,0.318353,,,,,,,,
0.7,,,,,,exp,,,,,0.2988057,,,,,,,,
0.7,,,,,,exp,,,,,0.8640294,,,,,,,,
0.7,,,,,,exp,,,,,1.4514355,,,,,,,,
0.7,,,,,,exp,,,,,1.2476031,,,,,,,,
0.7,,,,,,exp,,,,,0.9688591,,,,,,,,
0.7,,,,,,exp,,,,,2.8276646,,,,,,,,
0.7,,,,,,exp,,,,,0.8939352,,,,,,,,
0.7,,,,,,exp,,,,,1.014017,,,,,,,,
0.7,,,,,,exp,,,,,0.6299276,,,,,,,,
0.7,,,,,,exp,,,,,0.5659839,,,,,,,,
0.7,,,,,,exp,,,,,0.4159149,,,,,,,,
0.7,,,,,,exp,,,,,0.6598128,,,,,,,,
0.7,,,,,,exp,,,,,2.1994015,,,,,,,,
